銘柄名,preprocessed_text
19歳の酒,上立ち ふわりと甘く香るバナナ 奥から極わずかにセメ 銘柄名通り19歳の若者が酒造りに携わり20歳になった際 乾杯しようという趣旨のプロジェクト酒 含みサラッと入るが ジュワッと若さ溢れるガツンとした生原ならではのゴツイ旨み 極僅かに苦味を伴いサラっと退ける 今の季節なら氷を浮かべても良いかも 
AWANAMA,発泡日本酒って甘いのが美味しさでもあると思いますけど  これはほとんど甘くない発泡のお酒です 香りはちょっとふわっと甘い香りがします 控えめなとろみ にごりも薄めです しょっぱいもの食べながら飲める発泡日本酒に初めて出会いました  容器が黒のペットボトルなのも変わっています  アル添なし 精米歩合55 
BLACK JACK（福岡県）,初飲みスペック 寒北斗酒造と森酒造場とでラベル名同じにしてリリ スしてるみたいですね ラベルにはカラクチの向こう側と書いてある 含むとタッチは柔らかだが 果実感のある酸味がズドンと来る 斧やマサカリでズドンとやられる気分 酒単体よりアテと合わせてなんぼですね 今宵のお供は鶏つくねでした 後日追記 温めてみた 斧的な強さはソリッドに ジンジャ なドライ感 これは良い 温めるが良し 
BLACK JACK（長崎県）,こちらは森酒造場が醸した生酛スペック 刀剣のような研ぎ澄まされたクリア感を持ちながら 生酛らしく乳酸的酸味と爽やかさ コクがある こちらもアテと合わせてなんぼですね 日本刀と斧 どちらも切れ味がある ふむふむ 後日追記 寒くなったので温めてみた 旨酸際立つ 上燗ぐらいが好みかな 
Cowboy Yamahai,お酒自体 肉の風味がする気がします 
DATE SEVEN,スッキリ爽やかでスリムな味わいの中に  しっかりとした旨味がある  梅雨明けの宮城に実にピタリ  キリッと冷やしてアテは魚介だな 旨い  近くの角打ちでビ ルを飲んだあと 自宅にて7月7日に買い置きしていた date sevenを開封 一口飲んで 純米吟醸ではよくある味と思ったが ラベルを見て 精米歩合33 の純米大吟醸と知りびっくり そういえば3000円近い金額だった事を思い出す 新政や醸し人九平治のようなインパクトはないものの 悪くない味 酒米は ひとめぼれ  意地悪試験で少し温めて飲んでみたが 味に破たんがなく 間違いなく いい酒である事を認識 残り半分残っているので 味覚の冴えた時に しっかり味わってみたいと思った次第です  上立ち仄かに香るライチ 含みは軽く入りドッと広がるチリチリとした発泡感 酸と合わさる旨み 甘さは小さく柔らかい様 余韻も短し しっかり冷やして酸の爽やかさを感じたい 
EMOTION 2011,開栓初日はマスカットのような香りだったが   日目はややライチ風な南国果実のテイストが強まった  これは面白い 酸は一白っぽい感じかな       内で役割を変えながら  銘柄 スペックを変えながら  半年に一回ぐらいのスパンで出荷されるみたいですが 買い続けてみたい銘柄ですね           円ですが全然高いと思いません  旨いです お勧めです 
FONIA SORRA,新しい日本酒を試してみようと思ってオンラインショップで買いました  wakazeというブランドで 世界に売ろうとがんばっている山形の新しい蔵元です このfonia sorraは日本の柑橘と山椒を発酵の時から加えて香りを自然に出しているそうです  飲んでみると ほんのりとした柑橘の香りが立ち上り もはや日本酒では無いものの 日本の香りを感じます 山形県産の出羽燦 を精米歩合60% アルコ ル度数13度です 中口で 後味は切れてサッパリです ボタニカルらしく 僅かにジンのような感じがします 
KONISHI,ほぼ無色透明で 鮮烈なカプロン香 口当たりはまるっとやさしいがヒケは結構ドライ すっきりしていて食中酒に向くと思う 冷でやったが 室温程度でもよいかも 大吟醸カテゴリ アルコ ル15 16  精米歩合50  2021ワイングラスでおいしい日本酒アワ ド最高金賞だそうです 
NOBU,風味は メロン 口当たりは柔らかくスッキリと切れる 美味しい  フル ティ デリシャスな味わい  この風味は9号酵母系のお酒かな   白ワイン代わりに カニピラフとともにいただく   スペック 大吟醸       北雪酒造 精米歩合40  新潟産米  アルコ ル度16度 花冷え     に冷やし ワイングラスで楽しむ  瓶は ヨ ロッパ規格   和風レストラン      とのコラボ酒 矢沢永吉氏との出会いを始め 各界有名人等の話題が尽きない逸品でもある 
